item,cue,target,distractor1 ,distractor 2,afectocue,afectotarget,afectoD1,afectoD2,distancia,ceshard
137,INSEGURIDAD,PERSONA,PLAYA,HERMANO,2,1,1,1,2,1
138,AGONÍA,CAMA,SATISFACCIÓN,ROMANCE,2,1,1,1,2,1
139,CIEGO,VISIÓN,INFLAMACIÓN,VÁNDALO,2,1,2,2,1,0
140,TORNADO,AIRE,HAMBRE,CHANTAJE,2,1,2,2,2,1
141,COBARDÍA,MIEDO,INGENIO,EROTISMO,2,2,1,1,1,0
142,FASTIDIO,MALESTAR,CARICIA,VALIENTE,2,2,1,1,1,0
143,HERIDA,CORTE,DESLEAL,NEGLIGENCIA,2,2,2,2,1,0
144,DESTRUCCIÓN,BOMBA,MALESTAR,AVISPA,2,2,2,2,1,0
145,LOTERÍA,JUEGO,ADMIRACIÓN,BESO,1,1,1,1,1,0
146,PALACIO,HONOR,CARIÑO,COSTA,1,1,1,1,2,1
147,COLOR,VISIÓN,PESADILLA,AVISPA,1,1,2,2,1,0
148,SOCIABILIDAD,CARISMA,SUBURBIO,RIFLE,1,1,2,2,2,0
149,SENTIMIENTO,DOLOR,REGALO,ÉXITO,1,2,1,1,1,1
150,DINERO,POBREZA,BONDAD,LICENCIADO,1,2,1,1,1,0
151,BESO,SOLEDAD,OBESIDAD,BALA,1,2,2,2,2,0
152,MAR,FURIA,RABIA,CELOS,1,2,2,2,2,1
153,PESIMISMO,ALEGRÍA,HONOR,FRAGANCIA,2,1,1,1,1,0
154,SOLEDAD,AMIGO,OBSEQUIO,AGUA,2,1,1,1,2,1
155,HOSPITAL,SALUD,ATRACO,DESPRECIO,2,1,2,2,1,0
156,CEMENTERIO,FLOR,CONTAMINACIÓN,JAQUECA,2,1,2,2,2,0
157,INFERIOR,VÍCTIMA,AZÚCAR,BELLEZA,2,2,1,1,2,0
158,PINCHAZO,DAÑO,FLOR,VENCEDOR,2,2,1,1,1,0
159,HUMILLACIÓN,CAÍDA,CADÁVER,FUNERAL,2,2,2,2,2,1
160,ALCOHÓLICO,DEPRESIÓN,PARÁLISIS,SANGRE,2,2,2,2,1,0
161,ESTRELLA,BRILLO,LEALTAD,COMEDIA,1,1,1,1,2,1
162,APLAUSO,RISA,CAMA,INTIMIDAD,1,1,1,1,2,1
